artist_id,artist_name,genres,genre_count,popularity,followers,time_range,rank,range_key
00pgSmUVlL9A4coAnjPayQ,Bravo,Unknown,0,45,82613,Last 4 weeks,1,short_term
5c3GLXai8YOMid29ZEuR9y,Nick Drake,"folk, singer-songwriter",2,64,928646,Last 4 weeks,2,short_term
3OCZhm9zNElyNJNrwG9pC4,Mashina Vremeni,Unknown,0,46,191739,Last 4 weeks,3,short_term
2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,singer-songwriter,1,68,1318332,Last 4 weeks,4,short_term
3Rj0tDHoX7C5NFq5DKIpHt,Stereolab,"art pop, krautrock, post-rock, neo-psychedelic",4,55,388448,Last 4 weeks,5,short_term
6rdFMVoMSEN4GGX98u6QTj,Splean,Unknown,0,52,526750,Last 4 weeks,6,short_term
7hcJOolMkn9jRAAhaVSFnu,The Veldt,"shoegaze, dream pop, slowcore",3,24,11464,Last 4 weeks,7,short_term
4nlqDmbzFzbNITaqjJv7D7,The Sundays,"dream pop, jangle pop",2,66,523908,Last 4 weeks,8,short_term
4gvjmrtzydbMpyJaXUtwvP,Addison Rae,Unknown,0,79,1195786,Last 4 weeks,9,short_term
066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,"alternative dance, new rave",2,64,1225494,Last 4 weeks,10,short_term
2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,"new wave, post-punk",2,71,2803648,Last 4 weeks,11,short_term
4HLWX9kzfraiCsTvrxJEXm,The Chameleons,"post-punk, gothic rock, darkwave, deathrock, new wave",6,44,175690,Last 4 weeks,12,short_term
5ZclZsMoBdRY9MJw6l47Fx,Soft Blue Shimmer,"shoegaze, dream pop",2,30,16085,Last 4 weeks,13,short_term
2gbT6GPXMis0OAkZbEQCYB,Pinegrove,midwest emo,1,66,516575,Last 4 weeks,14,short_term
163tK9Wjr9P9DmM0AVK7lm,Lorde,Unknown,0,85,10458561,Last 4 weeks,15,short_term
09Wl9YiRr5l1rChWktQD4o,NoSo,Unknown,0,41,38946,Last 4 weeks,16,short_term
7pyhre5oEEFMqcgMEvJY7q,Sky Ferreira,Unknown,0,58,635448,Last 4 weeks,17,short_term
7MoIc5s9KXolCBH1fy9kkw,Japanese Breakfast,Unknown,0,63,824533,Last 4 weeks,18,short_term
2JFTRDi5v7JtqoouVe1z5D,Slow Pulp,Unknown,0,59,235292,Last 4 weeks,19,short_term
5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,Unknown,0,72,1261045,Last 4 weeks,20,short_term
0YCqg8X5gx0MremW64Ud1h,ДДТ,Unknown,0,48,437470,Last 4 weeks,21,short_term
12fRkVfO2fUsz1QHgDAG3g,Julia Jacklin,Unknown,0,54,323049,Last 4 weeks,22,short_term
3Uqu1mEdkUJxPe7s31n1M9,Weyes Blood,"art pop, baroque pop",2,60,551065,Last 4 weeks,23,short_term
