playlist_id,playlist_name,owner,is_public,is_collaborative,track_count,description
0xuA8Hycy5ldTUo4OI9pzG,nd,alex varivoda,True,False,19,
5gvMOD9C6eMIA9dao3vrU3,boogie and a sway,alex varivoda,True,False,43,DAAAAAAAAANCE                                    yrself clean #tonguesoutbumsout
4M0W0c69xm8kkQELU6xH8g,hell ya,alex varivoda,True,False,55,
3MLuNXdP98SdzgvBy32IoI,july finds,alex varivoda,True,False,54,
7nR3LnNakYoRI5ISy4a4DO,lit awesome happy mix,alex varivoda,True,False,23,
5qkP8X5fxPtrdeupNpYw4T,tbd,alex varivoda,False,False,0,
7r1vuManTqkRAo3Be7QD3d,life,alex varivoda,True,False,69,
26n1iDwFQIh9QgT9h3CpHr,лето,alex varivoda,True,False,41,
2iXjujLsbbRnP6kvadG6rr,chamedan,alex varivoda,False,False,21,
7mpZ0gZkKCqvsn39RmmAUF,#sunisout,alex varivoda,True,False,56,
61WKnCGG6BZ4Z5OAZZNU07,❤️❤️,magritte,True,False,64,
01f3ZOMnbVejLOa3oIRByG,высоцкий и окуджава,alex varivoda,True,False,32,
4pjLpvDOdcLIrfAfYQrf46,a stroll or two,alex varivoda,True,False,46,
7iG13svtp8kVmygkoAU2OR,bama hills in the 'rolla,nik brandt,True,False,58,
3pXXenUyfcFvrhFCIJfons,may day,alex varivoda,True,False,30,
12xFTVs3E8hulpWigq3cTY,Space Rave,Ralfalfa,True,False,68,
0wzEe3PMrnnXtmTuRyVgAa,little bit of awesome,alex varivoda,True,False,27,
5qDN1eB5uL5X1Mgml16n0s,chiller,alex varivoda,True,False,28,
11Su9JLhPIkHFzwoaUYG8H,spring sprang sprung,alex varivoda,True,False,36,
79NjlwkFexINIR5IhROuL0,Wendy Carlos,Limelight,True,False,14,Wendy Carlos’s groundbreaking album Switched-On Bach changed the face of both pop and classical music. Here are some of her greatest hits.
01ahqy0rleEOzRxJ5Xpoib,renono yes,alex varivoda,True,False,44,
0ZKRuoGjCIENOc9LtEybOg,okay,alex varivoda,False,False,18,
5rv8qXqU2Cn54QVDS0W8pa,🇵🇹🇨🇻🇧🇷,Ralfalfa,True,False,42,Lusophonic music of the chill variety. Please shuffle
4e5Rv2WNxcOtzFloBhaBe6,bork gems,tatemaguire,True,False,6,
6Mpb5nQTDikP4l54lp7bd8,what is gym music,alex varivoda,True,False,40,
1Jjyqa4jhrYg8Gpk0sIvA8,on repeat🏃,alex varivoda,True,False,74,
3q8iut8RqvaMExYeP2v4OJ,hello world,alex varivoda,True,False,23,
6OmJrupUgNDuToD91PXwCc,🐞🐞,alex varivoda,True,False,30,
4TAA5LvxWMeriM3zIIAQJb,marjan farsad,alex varivoda,False,False,2,
3KloZbXGDdqTDzP1QV1EER,🦃,alex varivoda,True,False,15,
4HK3brDJ2cgoeWg68MgIE8,interspecies,alex varivoda,True,False,39,
03XUMWuJ6H1lwsbMbK8rir,gagagagged,alex varivoda,True,False,15,
7o0UMj000BVczGItJY2Q7K,amazeballs,alex varivoda,True,False,11,
2oLQKCMENXP50o2TGAcEgm,winy🍷,alex varivoda,True,False,23,
2SI12u0OdKsyXnPU8ev5M3,diva down,tatemaguire,True,False,9,
15gKYDkXqJBpYQryXIGUJz,новые русские треки ,emma,True,False,12,
0cmQQy9HcKuCmfDcZBQDwm,кого? чего?,alex varivoda,True,False,18,
5lXHNTScwW7anwqc8180ql,some new some old😜,alex varivoda,True,False,77,
1MayNa0no6CPsDVsHN7pSA,Waxy Waxy,Ralfalfa,True,False,25,The good old days kicking it with dad after school
5dshpoo55ltGOr9LciKV0V,🪆😊,alex varivoda,True,False,46,
36RDtT1HLolL4hH0KoWgqI,groov!,alex varivoda,True,False,27,
44iZRTTb9jhRJIHoJyECKs,lit,alex varivoda,True,False,20,
5WaxEvhPQFCpVIbDJKGSqo,hair soup,alex varivoda,False,False,0,
7fREShz0I3N8fhz8Xs3BtW,bits and bytes,alex varivoda,True,False,39,
0UTyvZxOkR8uhs75SRsKUG,condense,alex varivoda,False,False,6,
2qaFjc5PCUGHKlxEnod5Xk,70,alex varivoda,False,False,9,
27zF0aq5loKNnbZGHHIue1,90,alex varivoda,False,False,18,
0gGNenCjrNxEjMnOk4h5kY,radio,alex varivoda,False,False,63,
3kUWKw6uT1LEEHdsL3skxD,last of 2024😴,alex varivoda,True,False,171,
06osoqZHDzv3eZCXDkvkAB,یه چیزی شبیه موسیقی محلی ایرانی .... فکر کنم 🦋📚,tara kaviani,True,False,17,
