track_name,artist_name,album_name,played_at,played_date,played_hour,played_weekday,played_weekday_num,duration_ms,popularity
Hey Hey Helen,Lush,Gala,2025-08-26 05:54:06.212000+00:00,2025-08-26,5,Tuesday,1,151333,28
Prizefighter,Youth Lagoon,Heaven Is a Junkyard,2025-08-26 05:51:34.390000+00:00,2025-08-26,5,Tuesday,1,161605,34
Alison,Slowdive,Souvlaki,2025-08-26 05:48:52.179000+00:00,2025-08-26,5,Tuesday,1,230986,63
Lost,Autumn's Grey Solace,Within The Depths Of A Darkened Forest,2025-08-26 05:45:00.962000+00:00,2025-08-26,5,Tuesday,1,214266,54
Lip,His Name Is Alive,Mouth By Mouth,2025-08-26 05:41:25.905000+00:00,2025-08-26,5,Tuesday,1,179533,30
"Cry, Cry",Mazzy Star,Among My Swan,2025-08-26 05:37:54.545000+00:00,2025-08-26,5,Tuesday,1,238160,60
Velvet,voyeur,Velvet,2025-08-26 05:33:47.023000+00:00,2025-08-26,5,Tuesday,1,223644,25
Lufthansa,The Chameleons,Why Call It Anything,2025-08-25 03:24:21.649000+00:00,2025-08-25,3,Monday,0,358760,17
Lufthansa,The Chameleons,Why Call It Anything,2025-08-25 00:15:10.672000+00:00,2025-08-25,0,Monday,0,358760,17
Outdoor Miner,Lush,For Love,2025-08-24 23:47:03.971000+00:00,2025-08-24,23,Sunday,6,171226,21
Sadistic,Stereolab,Refried Ectoplasm [Switched On Volume 2],2025-08-24 23:44:12.304000+00:00,2025-08-24,23,Sunday,6,156213,16
Perfect Thing,Soft Blue Shimmer,They Will Leave Us With Nothing,2025-08-24 23:41:38.793000+00:00,2025-08-24,23,Sunday,6,206512,16
Perfect Thing,Soft Blue Shimmer,They Will Leave Us With Nothing,2025-08-24 23:41:24.673000+00:00,2025-08-24,23,Sunday,6,206512,16
All A Dream,The Telescopes,Altered Perception,2025-08-24 23:22:17.979000+00:00,2025-08-24,23,Sunday,6,216480,12
Juicy Sandwich,The Veldt,Afrodisiac,2025-08-24 23:18:41.084000+00:00,2025-08-24,23,Sunday,6,268560,15
Happiness/The Gondola Man,Elliott Smith,Figure 8,2025-08-24 23:05:14.117000+00:00,2025-08-24,23,Sunday,6,304400,43
Espionage,Rainbow Kitten Surprise,Espionage,2025-08-24 21:36:25.325000+00:00,2025-08-24,21,Sunday,6,208753,65
Portal,Pinegrove,Skylight,2025-08-24 21:32:52.459000+00:00,2025-08-24,21,Sunday,6,148946,41
The Woman That Loves You,Japanese Breakfast,Psychopomp,2025-08-24 21:30:22.660000+00:00,2025-08-24,21,Sunday,6,144677,42
Need 2,Pinegrove,Everything So Far,2025-08-24 21:27:57.654000+00:00,2025-08-24,21,Sunday,6,191796,78
Waltz #2 (XO),Elliott Smith,XO,2025-08-24 21:24:45.634000+00:00,2025-08-24,21,Sunday,6,280106,58
Maria,Greg Mendez,Greg Mendez,2025-08-24 21:20:04.508000+00:00,2025-08-24,21,Sunday,6,118329,45
Star Game,@,Mind Palace Music,2025-08-24 21:18:05.764000+00:00,2025-08-24,21,Sunday,6,122482,36
Pollen Song,Tennis,Pollen,2025-08-24 21:16:02.637000+00:00,2025-08-24,21,Sunday,6,233666,39
